form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831222,4207,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,#267,WASHINGTON,DC,20003,,,2024-10-21,4935.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4208,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-10-21,3064.90,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4220,,,ORG,TARGETED VICTORY LLC,,,,,,"2311 WILSON BLVD, STE 200",2ND FLOOR,ARLINGTON,VA,22201,,,2024-10-21,1679.47,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4225,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-10-21,251.04,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4221,,,ORG,ELAN FINANCIAL SERVICES,,,,,,P.O. BOX 6357,,FARGO,ND,58125,,,2024-10-24,6450.00,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4222,4221,SB21B,ORG,TATANGO,,,,,,"600 STEWART ST, STE 400",#400,SEATTLE,WA,98101,,,2024-10-24,6450.00,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00831222,4201,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-25,734.05,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4209,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-10-28,11998.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4226,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-10-28,1930.65,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4210,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-11-04,19190.73,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4227,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-11-04,2115.71,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4211,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-11-11,1205.29,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4228,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-11-11,1002.08,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4229,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-11-18,643.70,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4223,,,ORG,ELAN FINANCIAL SERVICES,,,,,,P.O. BOX 6357,,FARGO,ND,58125,,,2024-11-19,4419.00,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4224,4223,SB21B,ORG,TATANGO,,,,,,"600 STEWART ST, STE 400",#400,SEATTLE,WA,98101,,,2024-11-19,4419.00,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00831222,4202,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-11-20,866.96,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4230,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-11-25,434.41,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,4231,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2024-11-25,362.85,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
