form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00588335,SB21B.5074,,,ORG,American Conservative Union,,,,,,1199 N Fairfax St Ste 500,,Alexandria,VA,22314,P2024,,2023-02-17,295.00,,Registration fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5053,,,ORG,Best Buy,,,,,,4024 Wards Road Ste A,,Lynchburg,VA,24502,P2024,,2023-01-04,210.59,,Equipment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5112,,,ORG,Best Buy,,,,,,4024 Wards Road Ste A,,Lynchburg,VA,24502,P2024,,2023-04-24,94.76,,Equipment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5076,,,ORG,Gaylord National Resort,,,,,,201 Waterfront St,,National Harbor,MD,20745,P2024,,2023-02-17,323.32,,Travel expense,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5081,,,ORG,Gaylord National Resort,,,,,,201 Waterfront St,,National Harbor,MD,20745,P2024,,2023-03-06,27.56,,Travel expense,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5082,,,ORG,Gaylord National Resort,,,,,,201 Waterfront St,,National Harbor,MD,20745,P2024,,2023-03-06,6.36,,Food,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5083,,,ORG,Gaylord National Resort,,,,,,201 Waterfront St,,National Harbor,MD,20745,P2024,,2023-03-06,6.36,,Food,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5110,,,ORG,Gaylord National Resort,,,,,,201 Waterfront St,,National Harbor,MD,20745,P2024,,2023-04-24,869.64,,Travel expense,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5068,,,ORG,Hilton Miami Downtown,,,,,,1601 Biscayne Blvd,,Miami,FL,33132,P2024,,2023-02-14,1238.56,,Lodging,002,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5055,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-01-11,233.72,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5058,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-02-08,235.38,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5086,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-03-08,235.38,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5102,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-04-10,235.38,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5114,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-05-09,238.64,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5131,,,ORG,Verizon Wireless,,,,,,PO Box 5029,,Wallingford,CT,06492,P2024,,2023-06-08,235.26,,Telephone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00588335,SB21B.5100,,,ORG,Virginian Hotel,,,,,,712 Church Street,,Lynchburg,VA,24504,P2024,,2023-04-03,336.76,,Travel expense,002,,,,,,,,,,,,,,,,,,,
