form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00774323,SB21B-1015221,,,ORG,AUTHORIZE.NET,,,,,,PO BOX 947,,AMERICAN FORK,UT,840030947,,,2024-12-03,95.35,251.77,CREDIT CARD PROCESSING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015225,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-12-06,2047.00,53364.55,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015277,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-12-20,1185.00,53364.55,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015193,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-12-02,662.93,1510.04,MERCHANT PROCESSOR FEES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015293,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,,,2024-12-04,333.00,77115.93,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015187,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-29,44.30,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015227,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-09,38.50,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015239,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-13,31.54,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015271,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-19,528.49,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015273,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-19,3154.21,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015275,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-20,32.14,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015291,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-30,31.45,8109.78,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015191,,,ORG,PACSMART FILING SERVICES LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-11-29,500.00,5477.76,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015295,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-12-04,333.00,56534.75,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1015297,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-12-04,333.00,144526.02,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
