form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00766220,SB21B.8029,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-30,2025.18,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8004,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-07-26,50.00,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8005,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-08-29,80.00,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8006,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-09-26,80.00,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8007,,,ORG,Beyond November Strategies,,,,,,6 Liberty Square,PMB 538,Boston,MA,02109,,,2024-08-13,4000.00,,Fundraising and Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7988,,,ORG,Send in Bue,,,,,,47 Rue la Caussee d'Antin,,Paris,ZZ,,,,2024-07-01,37.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7992,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-07-09,630.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7993,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-08-06,170.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7994,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-08-12,800.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7995,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-08-30,128.33,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7996,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-09-10,1150.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8001,,,ORG,Wix.com,,,,,,1691 Michigan Ave,,Miami,FL,33139,,,2024-07-17,24.43,,Website Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8002,,,ORG,Wix.com,,,,,,1691 Michigan Ave,,Miami,FL,33139,,,2024-08-16,24.43,,Website Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.8003,,,ORG,Wix.com,,,,,,1691 Michigan Ave,,Miami,FL,33139,,,2024-09-16,24.43,,Website Service,,,,,,,,,,,,,,,,,,,,
