form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00812792,B-47288,,,ORG,TATANGO,,,,,,600 STEWART STREET,SUITE 400,SEATTLE,WA,98101,G2024,,2024-04-01,422.94,,FUNDRAISING EXPENSE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47291,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-02,977.34,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47292,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-02,977.38,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47293,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-02,2748.98,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47294,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-02,2749.00,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47295,,,ORG,INTEGRATED SOLUTIONS,,,,,,,,SAN DIEGO,CA,92116,G2024,,2024-04-02,850.00,,COMPLIANCE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47296,,,ORG,BRUCE BERNSTIEN & ASSOCIATES,,,,,,10440 N. CENTRAL EXPRESSWAY,,DALLAS,TX,75231,G2024,,2024-04-04,1500.00,,COMPLIANCE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47299,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-09,977.36,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47300,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-09,2748.99,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47301,,,ORG,MAILCHIMP,,,,,,675 PONCE DE LEON AVE NE,5000,ATLANTA,GA,30308,G2024,,2024-04-10,879.80,,EMAIL MARKETING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47303,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-12,977.38,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47304,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-12,2748.98,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47309,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-19,977.34,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47310,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-19,2749.00,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47308,,,ORG,TATANGO,,,,,,600 STEWART STREET,SUITE 400,SEATTLE,WA,98101,G2024,,2024-04-19,265.00,,FUNDRAISING EXPENSE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47313,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-26,1264.28,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47314,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-04-26,3290.14,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47315,,,ORG,TATANGO,,,,,,600 STEWART STREET,SUITE 400,SEATTLE,WA,98101,G2024,,2024-04-30,422.94,,FUNDRAISING EXPENSE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47318,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-05-01,1264.24,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47319,,,ORG,GUSTO,,,,,,525 20TH STREET,,SAN FRANCISCO,CA,94107,G2024,,2024-05-01,3290.16,,PAYROLL,001,,,,,,,,,,,,,,,,,,,
SB21B,C00812792,B-47320,,,ORG,INTEGRATED SOLUTIONS,,,,,,,,SAN DIEGO,CA,92116,G2024,,2024-05-02,850.00,,COMPLIANCE,001,,,,,,,,,,,,,,,,,,,
