form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00824821,SB21B-1013183,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-11-19,4042.75,65134.91,WEB MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013165,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-01,224.14,586.02,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1014383,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-11-08,333.00,106537.49,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013167,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-21,33.48,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013169,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-25,31.16,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013171,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-01,28.55,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013173,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-12,27.10,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013175,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-15,28.84,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013177,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-21,6626.55,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013179,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-22,43.34,6819.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1013181,,,ORG,NORTH STAR MULTIMEDIA,,,,,,9360 W. FLAMINGO,#110-226,LAS VEGAS,NV,89147,,,2024-10-18,805.00,805.00,WEBSITE HOSTING AND DOMAIN RENEWAL,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1014385,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-11-08,333.00,76942.27,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00824821,SB21B-1014387,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-11-08,333.00,197089.46,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
