form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00866269,B-13,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-05,15000.00,,Media Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-14,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-05,2500.00,,PAC Website Development & Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-23,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-08,15000.00,,Media Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-28,,,ORG,Ashby Law PC,,,,,,625 North Washington Street,,Alexandria,VA,22314,,,2024-02-10,3543.75,,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-51,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-02-16,877.42,,Software & Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-56,,,ORG,Western Alliance Bank,,,,,,8505 West Centennial Parkway,,Las Vegas,NV,89149,,,2024-02-20,35.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-54,,,ORG,Western Alliance Bank,,,,,,8505 West Centennial Parkway,,Las Vegas,NV,89149,,,2024-02-21,14.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-38,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-22,170.87,,Domain & Email Registration,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-68,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-22,115.00,,PO Box Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-69,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,,,2024-02-22,20.90,,Mileage Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-57,,,ORG,Western Alliance Bank,,,,,,8505 West Centennial Parkway,,Las Vegas,NV,89149,,,2024-02-22,35.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-65,,,ORG,American Viewpoint Inc.,,,,,,5501 Merchants View Square,,Haymarket,VA,20169,,,2024-02-29,51300.00,,Polling Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-63,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,P2024,,2024-02-29,7114.40,,Text Message Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00866269,B-6,,,ORG,Swing Strategies,,,,,,925 University Ave,,Sacramento,CA,95825,P2024,,2024-01-30,-80316.79,80316.79,Direct Mail Services,,C00859892,Vince Fong for Congress,H4CA20181,Fong,Vince,,,,H,CA,20,,,,,,,,
