form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571182,B-52281,,,ORG,Barclays Card Services,,,,,,PO Box 13337,,Philadelphia,PA,19101,,,2023-01-09,6905.63,,Credit Card Payment - See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00571182,B-52283,B-52281,,ORG,"Marriott International, Inc.",,,,,,600 Unicorn Park Dr,,Woburn,MA,01801,,,2023-01-09,4244.54,,Lodging,,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Barclays Card Services
SB21B,C00571182,B-52284,B-52281,,ORG,Corporate Paris,,,,,,31 rue de Neuilly,,Clichy  FRANCE,,92110,,,2023-01-09,1998.64,,Car Service,,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Barclays Card Services
SB21B,C00571182,B-52285,B-52281,,ORG,"Slack Technologies, Inc.",,,,,,500 Howard St,,San Francisco,CA,94105,,,2023-01-09,433.87,,Communications Software Subscription,,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Barclays Card Services
SB21B,C00571182,B-52290,,,ORG,Chase Card Services,,,,,,PO Box 94014,,Palatine,IL,600944014,,,2023-01-10,37160.08,,Credit Card Payment - See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00571182,B-52291,B-52290,,ORG,Enchantment Resort,,,,,,525 Boynton Canyon Rd,,Sedona,AZ,863363041,,,2023-01-10,37160.08,,Event Facility Rental,,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Chase Card Services
SB21B,C00571182,B-52292,,,ORG,"Fulkerson Kennedy & Company, LLC",,,,,,"660 Pennsylvania Ave SE, Suite 201",,Washington,DC,20003,,,2023-01-10,9000.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571182,B-52289,,,ORG,Santa Rosa Partners LLC,,,,,,251 Little Falls Dr,,Wilmington,DE,19808,,,2023-01-10,4400.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571182,B-52293,,,ORG,Barclays Card Services,,,,,,PO Box 13337,,Philadelphia,PA,19101,,,2023-01-13,4815.89,,Credit Card Payment - See Memo's if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00571182,B-52294,B-52293,,ORG,American Airlines,,,,,,4255 Amon Carter Blvd,,Fort Worth,TX,76155,,,2023-01-13,4535.89,,Airfare,,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Barclays Card Services
