form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00853861,SB21B.4167,,,ORG,Harbor Strategic Public Affairs,,,,,,PO Box 12241,,Lansing,MI,48901,P2024,,2024-03-15,5000.00,,Communications Consulting,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4125,,,ORG,Holtzman Vogel,,,,,,15405 John Marshall Highway,,Haymarket,VA,20169,P2024,,2024-01-11,11265.23,,Legal Services,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4164,,,ORG,Holtzman Vogel,,,,,,15405 John Marshall Highway,,Haymarket,VA,20169,P2024,,2024-02-26,6369.75,,Legal Services,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4162,,,ORG,Kdence LLC,,,,,,5550 Wild Rose Lane,Suite 400,West Des Moines,IA,50266,P2024,,2024-02-09,12528.78,,Strategic Consulting Services,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4166,,,ORG,Kdence LLC,,,,,,5550 Wild Rose Lane,Suite 400,West Des Moines,IA,50266,P2024,,2024-03-08,12528.78,,Strategic Consulting Services,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4122,,,ORG,"Nebo Media, Inc",,,,,,PO Box 9825,,Arlington,VA,22219,P2024,,2024-01-12,450.00,,Shipping Expenses,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4123,,,ORG,Strategic Victory Solutions,,,,,,1305 W 11th Street,#213,Houston,TX,77008,P2024,,2024-01-08,3025.00,,Compliance Consulting,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4161,,,ORG,Strategic Victory Solutions,,,,,,1305 W 11th Street,#213,Houston,TX,77008,P2024,,2024-02-08,3000.00,,Compliance Consulting,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4165,,,ORG,Strategic Victory Solutions,,,,,,1305 W 11th Street,#213,Houston,TX,77008,P2024,,2024-03-07,3000.00,,Compliance Consulting,001,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4131,,,ORG,"TargetPoint Consulting, Inc.",,,,,,2249 Wealthy Street SE,Suite 209,Grand Rapids,MI,49506,P2024,,2024-01-12,25525.00,,Survey Research,005,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
SB21B,C00853861,SB21B.4169,,,ORG,"TargetPoint Consulting, Inc.",,,,,,2249 Wealthy Street SE,Suite 209,Grand Rapids,MI,49506,P2024,,2024-03-15,28960.00,,Survey Research,005,C00853861,"GLCF, INC.",,,,,,,,,,,,,,,,,
