form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00828541,SB29.1040476,,,COM,LANSDOWNE REPUBLICAN PARTY,,,,,,P.O. BOX 456,,LANSDOWNE,PA,19050,E2024,Recount,2024-12-02,500.00,,CONTRIBUTION REFUND
SB29,C00828541,SB29.1037967,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,G2024,,2024-11-26,317.88,,COLLATERAL: MERCHANDISE
SB29,C00828541,SB29.1039981,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,G2024,,2024-12-02,3022.38,,COLLATERAL: MERCHANDISE
SB29,C00828541,SB29.1040480,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,G2024,,2024-12-03,3070.43,,COLLATERAL: MERCHANDISE
SB29,C00828541,SB29.1041784,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,G2024,,2024-12-11,512.34,,COLLATERAL: MERCHANDISE
SB29,C00828541,SB29.1040540,,,ORG,"ADVANCING STRATEGIES, LLC",,,,,,PO BOX 96,,MIDLOTHIAN,VA,23113,G2024,,2024-12-05,30000.00,,POLITICAL STRATEGY CONSULTING
SB29,C00828541,SB29.1040052.2,,,IND,,AMBROSINI,CHRISTOPHER,,,,P.O. BOX 509,,ARLINGTON,VA,22216,G2024,,2024-11-29,3791.67,,PAYROLL
SB29,C00828541,SB29.1041645.2,,,IND,,AMBROSINI,CHRISTOPHER,,,,P.O. BOX 509,,ARLINGTON,VA,22216,G2024,,2024-12-13,3791.67,,PAYROLL
SB29,C00828541,SB29.1043334.2,,,IND,,AMBROSINI,CHRISTOPHER,,,,P.O. BOX 509,,ARLINGTON,VA,22216,G2024,,2024-12-31,3791.67,,PAYROLL
SB29,C00828541,SB29.1042576,,,IND,,AMBROSINI,CHRISTOPHER,,,,P.O. BOX 509,,ARLINGTON,VA,22216,G2024,,2024-12-17,10000.00,,PAYROLL
SB29,C00828541,SB29.1037159,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,G2024,,2024-11-27,509157.81,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB29,C00828541,SB29.1037159.1,SB29.1037159,SB29,ORG,7-ELEVEN,,,,,,3200 HACKBERRY RD,,IRVING,TX,75063,G2024,,2024-10-29,17.07,,TRAVEL: FUEL,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.2,SB29.1037159,SB29,ORG,AMAZON,,,,,,410 TERRY AVE. NORTH,,SEATTLE,WA,98109,G2024,,2024-10-29,33.22,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.3,SB29.1037159,SB29,ORG,AMAZON,,,,,,410 TERRY AVE. NORTH,,SEATTLE,WA,98109,G2024,,2024-10-29,427.99,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.4,SB29.1037159,SB29,ORG,AMAZON,,,,,,410 TERRY AVE. NORTH,,SEATTLE,WA,98109,G2024,,2024-11-02,54.56,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.5,SB29.1037159,SB29,ORG,AMAZON,,,,,,410 TERRY AVE. NORTH,,SEATTLE,WA,98109,G2024,,2024-11-02,192.59,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.6,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-27,-712.95,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.7,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-27,-980.95,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.20,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,-314.48,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.30,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,-353.48,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.112,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-11-02,-323.47,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.139,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-11-03,-342.97,,CREDIT: TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.8,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,342.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.9,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,460.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.10,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,838.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.11,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,457.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.12,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,239.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.13,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,433.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.14,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,239.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
