form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754754,SB21B.10963,,,PAC,ACTBLUE,,,,,,PO BOX 441146,,SOMERVILLE,MA,02144,,,2024-06-30,167.79,,Merchant Fees,,C00714725,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10940,,,ORG,ATK Strategies LLC,,,,,,1 Park Ave #1707,,Detroit,MI,48226,,,2024-04-15,4000.00,,General Campain Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10936,,,IND,,Behn,Aftyn,,,,1215 Forrest Ave,,Nashville,TN,37206,,,2024-04-09,4020.00,,General Campain Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10946,,,IND,,Behn,Aftyn,,,,1215 Forrest Ave,,Nashville,TN,37206,,,2024-05-08,4080.00,,General Campaign Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10959,,,IND,,Behn,Aftyn,,,,1215 Forrest Ave,,Nashville,TN,37206,,,2024-06-12,4020.00,,General Campaign Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10935,,,IND,,Cook,Tara,,,,1101 Juniper St NE,,Atlanta,GA,30309,,,2024-04-03,2500.00,,Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10941,,,IND,,Cook,Tara,,,,1101 Juniper St NE,,Atlanta,GA,30309,,,2024-04-18,2850.00,,Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10949,,,IND,,Cook,Tara,,,,1101 Juniper St NE,,Atlanta,GA,30309,,,2024-05-22,2000.00,,Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10954,,,IND,,Cook,Tara,,,,1101 Juniper St NE,,Atlanta,GA,30309,,,2024-06-04,2500.00,,Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10960,,,IND,,Cook,Tara,,,,1101 Juniper St NE,,Atlanta,GA,30309,,,2024-06-18,2750.00,,Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10945,,,ORG,DigiGeeks Collective LLC,,,,,,5814 Washington Blvd,,Arlington,VA,22205,,,2024-05-03,6000.00,,Communications Consulting,,,,,,,,,,,,,,,,,,,,
