form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00692202,500459910,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock PC",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-09-11,285.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500459460,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,,,2023-08-25,90.25,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500429180,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-13,77.04,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500201832,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-02,8.29,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500461032,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-09-25,92.54,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500216582,,,ORG,Middle Seat,,,,,,PO Box 21600,,Washington,DC,200099600,,,2023-07-05,1000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283903,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,,,2023-07-26,80.25,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500458713,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-03,10.97,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283823,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-30,29.54,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500461033,,,ORG,Capitol Compliance Associates,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2023-09-26,8240.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500442783,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-27,39.55,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283894,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-31,11.00,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500216985,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-16,87.60,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500461895,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,,,2023-09-27,95.25,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500458706,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-31,31.45,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283906,,,ORG,Capitol Compliance Associates,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2023-07-26,1500.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283896,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-07-24,92.54,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500460807,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-24,45.55,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500340937,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-06,22.99,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500428847,,,ORG,Middle Seat,,,,,,PO Box 21600,,Washington,DC,200099600,,,2023-08-01,1000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500216548,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-09,36.37,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500429178,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-20,55.04,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500459178,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-10,38.85,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283898,,,ORG,"NGP VAN, Inc.",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-07-25,326.63,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500459909,,,ORG,Middle Seat,,,,,,PO Box 21600,,Washington,DC,200099600,,,2023-09-06,1000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500459619,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-17,82.12,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500459459,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-08-24,92.54,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500461689,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-30,33.74,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500260889,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-23,46.55,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00692202,500283899,,,ORG,"NGP VAN, Inc.",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-07-25,326.63,0.00,Software,,,,,,,,,,,,,,,,,,,,
