form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00673715,SB21B.4302,,,ORG,Advanced Aviation Team,,,,,,4201 Wilson Boulevard,3rd Floor,Arlington,VA,22203,,,2023-08-04,8314.49,,airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4310,,,ORG,Anedot,,,,,,1340 Poydras Street Suite,Suiute 1770,New Orleans,LA,70112,,,2023-09-13,2200.64,,credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4314,,,ORG,Anedot,,,,,,1340 Poydras Street Suite,Suiute 1770,New Orleans,LA,70112,,,2023-09-15,400.30,,credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4315,,,ORG,Anedot,,,,,,1340 Poydras Street Suite,Suiute 1770,New Orleans,LA,70112,,,2023-09-21,1872.30,,credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4340,,,ORG,Anedot,,,,,,1340 Poydras Street Suite,Suiute 1770,New Orleans,LA,70112,,,2023-09-30,1690.90,,credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4305,,,ORG,Huckaby Davis Lisker,,,,,,228 S. Washington Street,Suite 115,Alexandria,VA,22314,,,2023-08-07,6993.85,,jfc accounting/compliance svcs phone/delivery/postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4303,,,ORG,John Marshall Bank,,,,,,1401 H Street NW,Suite 702,Washington,DC,20005,,,2023-08-04,12.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4327,,,ORG,John Marshall Bank,,,,,,1401 H Street NW,Suite 702,Washington,DC,20005,,,2023-09-28,24.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4333,,,ORG,John Marshall Bank,,,,,,1401 H Street NW,Suite 702,Washington,DC,20005,,,2023-09-29,12.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4299,,,ORG,Rizzo Dukes Group,,,,,,4 Cooper Court,,Bluffton,SC,29910,,,2023-07-10,1500.00,,jfc fundraising consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4300,,,ORG,Rizzo Dukes Group,,,,,,4 Cooper Court,,Bluffton,SC,29910,,,2023-08-03,1500.00,,jfc fundraising consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00673715,SB21B.4311,,,ORG,Rizzo Dukes Group,,,,,,4 Cooper Court,,Bluffton,SC,29910,,,2023-09-13,1500.00,,jfc fundraising consulting fee,,,,,,,,,,,,,,,,,,,,
