form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00568162,14053,,,ORG,STRATEGIC ADVANCE SERVICES,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-01-02,243914.44,,TRAVEL / FACILITY RENTAL / CATERING / FOOD/BEVERAGE / OFFICE SUPPLIES / TRAVEL CONSULTING SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14005,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD #400,,MCLEAN,VA,22182,,,2023-01-05,250.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14008,,,ORG,CORCORAN STRATEGIES,,,,,,200 CIRCLE AVENUE,,CHARLOTTE,NC,28207,,,2023-01-06,13012.50,,FUNDRAISING CONSULTING / CATERING / MUSICAL ENTERTAINMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14012,,,ORG,"CROSBY OTTENHOFF GROUP, LLC",,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-01-09,1875.00,,Compliance Consulting,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14060,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2023-01-16,800.00,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14061,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22209,,,2023-01-23,1262.59,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14009,,,ORG,CORCORAN STRATEGIES,,,,,,200 CIRCLE AVENUE,,CHARLOTTE,NC,28207,,,2023-01-24,8698.98,,FUNDRAISING CONSULTING / TRAVEL / EVENT DECORATIONS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14013,,,ORG,"CROSBY OTTENHOFF GROUP, LLC",,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-01-24,1992.28,,Compliance Consulting,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14016,,,ORG,DRUCKER LAWHON,,,,,,530 10TH ST NE,,WASHINGTON,DC,20002,,,2023-01-24,10251.36,,FUNDRAISING CONSULTING / TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00568162,14028,,,ORG,"KIRSTIN HOPKINS, INC.",,,,,,7110 GREENBROOK LN,,DALLAS,TX,75214,,,2023-01-24,2790.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
