form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00582841,SB21B.7339,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-08-28,19.76,,Service fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7287,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2024-08-22,1839.70,,Legal services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7280,,,ORG,Casa Cruz,,,,,,36 East 61st Street,,New York,NY,10065,,,2024-07-05,4622.73,,Fundraising meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7282,,,ORG,Evernest Financial Advisors,,,,,,75 Executive Drive Suite B,,Carmel,IN,46032,,,2024-07-15,5591.03,,Investment Advisor,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7279,,,ORG,River Palm Terrace,,,,,,1416 River Road,,Edgewater,NJ,07020,,,2024-07-05,721.67,,Fundraising meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7292,,,ORG,Royal Printing Service,,,,,,435 51st St,,West New York,NJ,07093,,,2024-09-10,613.09,,Fundraiser invitation printing,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7273,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-07-01,118.82,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7277,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-07-03,18.99,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7278,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-07-05,48.72,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7337,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-07-11,11.86,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7338,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-07-23,14.83,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7286,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-08-22,113.11,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7289,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-09-06,107.57,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7290,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-09-09,145.36,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7291,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-09-10,40.93,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7294,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-09-27,35.71,,Local travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.7295,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2024-09-30,9.92,,Local travel,002,,,,,,,,,,,,,,,,,,,
