form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00774588,SB21B.I5623,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY STREET,,NEW YORK,NY,10285,,,2024-04-01,219.50,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5626,SB21B.I5623,,ORG,BLACKLANE CAR SERVICE,,,,,,59 FEURIGSTRASSE,BERLIN,GERMANY,ZZ,00000,,,2024-04-01,219.50,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00774588,SB21B.I5602,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22812,,,2024-04-09,4.80,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5603,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22812,,,2024-04-24,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5606,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE,STE 267,WASHINGTON,DC,20003,,,2024-04-30,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5607,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W. SUITE 900",,WASHINGTON,DC,20006,,,2024-04-30,1500.00,,LEGAL FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5604,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22812,,,2024-05-10,6.75,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5605,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22812,,,2024-05-24,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5622,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY STREET,,NEW YORK,NY,10285,,,2024-05-28,3552.44,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00774588,SB21B.I5625,SB21B.I5622,,ORG,CAPITOL HILL CLUB,,,,,,300 1ST ST SOUTH EAST,,WASHINGTON,DC,20003,,,2024-05-28,3552.44,,FOOD / BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
