form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00147173,51008922,,,COM,Wine and Spirits Distributors of Illinois PAC,,,,,,P.O. Box 437121,,Chicago,IL,60643,,,2024-11-18,3500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008926,,,COM,Wine & Spirits Wholesalers of Texas PAC,,,,,,"1005 Congress, Suite 340",,Austin,TX,78701,,,2024-11-18,3500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008930,,,COM,"Wine and Spirits Wholesalers of Kentucky,PAC",,,,,,906 Creek Road.Suite 102,,Louisville,KY,40243,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008932,,,COM,AWSWD PAC,,,,,,"1201 Pacific Avenue, Suite 2100",,Tacoma,WA,98402,,,2024-11-18,3500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008933,,,COM,ABW PAC,,,,,,118 Washington Ave.,,West Haven,CT,06516,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008934,,,COM,IBWDA PAC,,,,,,P.O. Box 863,,Boise,ID,83701,,,2024-11-18,1000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008935,,,COM,Virginia Wine Wholesalers PAC,,,,,,P.O. Box 170,,Richmond,VA,23218,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008936,,,COM,Wine and Spirits Distributors of Florida Political Committee,,,,,,P.O. Box 361,,Tallahassee,FL,32302,,,2024-11-18,1000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008937,,,COM,Wholesale Distributors for Good Government,,,,,,"50 Hurt Plaza, SE Suite 940",,Atlanta,GA,30303,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008938,,,COM,WSWT PAC,,,,,,3001 Owen Drive,,Nashville,TN,37013,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008939,,,COM,Wine & Spirits Wholesalers Association of SC PAC,,,,,,"1201 Main Street, Suite 1440",,Columbia,SC,29201,,,2024-11-18,1000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008940,,,COM,Wine & Spirits Wholesalers of Massachusetts PAC,,,,,,"35 Braintree Hill Park, Suite 103",,Braintree,MA,02184,,,2024-11-18,500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00147173,51008942,,,COM,Oregon Beverage PAC,,,,,,"6312 SW Capitol HWY, PMB# 407",,Portland,OR,97239,,,2024-11-18,2000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
