form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00858381,SB21B.4484,,,ORG,Anedot Inc,,,,,,1340 Poydras St,,New Orleans,LA,70112,,,2024-02-09,20.30,,PAC E-Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4487,,,ORG,CFS Compliance,,,,,,PO Box 30844,,Bethesda,MD,20824,,,2024-02-15,7000.00,,PAC Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4495,,,ORG,CFS Compliance,,,,,,PO Box 30844,,Bethesda,MD,20824,,,2024-02-27,3000.00,,PAC Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4475,,,ORG,Cyr CyberSec LLC,,,,,,31 Chapel Road,,North Hampton,NH,03862,,,2024-02-01,5000.00,,PAC Graphic Design,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4478,,,ORG,DCAN Productions LLC,,,,,,375 Oakland Beach Ave,,Rye,NY,10580,,,2024-02-02,15000.00,,PAC Media & Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4493,,,ORG,New England Focus Group,,,,,,1515 Ocean St,,Marshfield,MA,02050,,,2024-02-08,2400.00,,PAC Talent Acquisition,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4489,,,ORG,Northeast Strategies LLC,,,,,,19 Lorraine Ter,,Marblehead,MA,01945,,,2024-02-15,10000.00,,PAC Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4480,,,ORG,Opinion Diagnostics LLC,,,,,,100 Sudbury St,#3507,Boston,MA,02114,,,2024-02-06,40000.00,,PAC Research,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4481,,,ORG,Opinion Diagnostics LLC,,,,,,100 Sudbury St,#3507,Boston,MA,02114,,,2024-02-06,900.00,,PAC Website Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4476,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-02,25.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4477,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-02,10.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4479,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-02,25.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4482,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-06,25.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4483,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-08,25.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00858381,SB21B.4496,,,ORG,Primary Bank,,,,,,207 Route 101,,Bedford,NH,03110,,,2024-02-29,25.00,,PAC Bank Fees,001,,,,,,,,,,,,,,,,,,,
