form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00820068,SB21B.4172,,,ORG,"Fusion 3001, LLC",,,,,,3001 Washington Blvd,7th Floor,Arlington,VA,22201,,,2023-11-30,1500.00,,PAC List Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4161,,,ORG,"Johnson Jordahl, LLC",,,,,,N7130 N. Lost Lake Rd,,Randolph,WI,53956,,,2023-07-31,2000.00,,PAC Political/Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4162,,,ORG,"Johnson Jordahl, LLC",,,,,,N7130 N. Lost Lake Rd,,Randolph,WI,53956,,,2023-08-24,2000.00,,PAC Political/Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4165,,,ORG,"Johnson Jordahl, LLC",,,,,,N7130 N. Lost Lake Rd,,Randolph,WI,53956,,,2023-10-02,2000.00,,PAC Political/Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4167,,,ORG,"Johnson Jordahl, LLC",,,,,,N7130 N. Lost Lake Rd,,Randolph,WI,53956,,,2023-11-01,4000.00,,PAC Political/Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4174,,,ORG,"Johnson Jordahl, LLC",,,,,,N7130 N. Lost Lake Rd,,Randolph,WI,53956,,,2023-12-01,4000.00,,PAC Political/Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4160,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-07-31,1000.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4163,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-08-24,1000.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4164,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-09-28,1108.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4166,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-10-27,1000.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4171,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-11-15,1000.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4175,,,ORG,"Koch & Hoos, LLC",,,,,,"901 N Washington St, Ste 700",,Alexandria,VA,22314,,,2023-12-14,1000.00,,PAC Accounting/Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00820068,SB21B.4170,,,ORG,The Tarrance Group,,,,,,201 N. Union St,Ste 410,Alexandria,VA,22314,,,2023-11-15,46074.00,,PAC Survey,,,,,,,,,,,,,,,,,,,,
