form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00873893,SB21B.1027161,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-07,3089.22,,"COLLATERAL: APPAREL, FREIGHT, STICKERS, & BUTTONS"
SB21B,C00873893,SB21B.1029034,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-15,11355.48,,COLLATERAL: FLAGS & FREIGHT
SB21B,C00873893,SB21B.1029738,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-16,16713.22,,COLLATERAL: CAPS & FREIGHT
SB21B,C00873893,SB21B.1026268,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-04,17881.99,,"COLLATERAL: CAPS, FLAGS, STICKERS, SIGNS, & FREIGHT"
SB21B,C00873893,SB21B.1028760,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-11,137390.83,,"COLLATERAL: CAPS, STICKERS, SIGNS, & FREIGHT"
SB21B,C00873893,SB21B.1028252,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-09,193892.15,,"COLLATERAL: STICKERS, CAPS, BUTTONS, SIGNS, & FREIGHT"
SB21B,C00873893,SB21B.1029202,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-16,208386.68,,COLLATERAL: CAPS
SB21B,C00873893,SB21B.1027547,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-09,219069.00,,COLLATERAL: CAPS
SB21B,C00873893,SB21B.1024763,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-01,349772.21,,"COLLATERAL: CAPS, FLAGS, BUTTONS, SIGNS, & FREIGHT"
SB21B,C00873893,SB21B.1025359,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,,2024-10-15,9479.65,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00873893,SB21B.1025359.1,SB21B.1025359,SB21B,ORG,ALLIANZ TRAVEL INSURANCE,,,,,,9950 MAYLAND DR,,RICHMOND,VA,23233,,,2024-09-09,77.10,,INSURANCE,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.2,SB21B.1025359,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2024-09-09,679.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.3,SB21B.1025359,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2024-09-09,679.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.5,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-11,976.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.6,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-11,976.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.7,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,558.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.8,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,558.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.9,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,468.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.10,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,468.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.11,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,339.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.12,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,339.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.13,SB21B.1025359,SB21B,ORG,DELTA AIR LINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-26,14.99,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.14,SB21B.1025359,SB21B,ORG,ELEMENT PHILADELPHIA DOWNTOWN,,,,,,1441 CHESTNUT STREET,,PHILADELPHIA,PA,19102,,,2024-09-09,743.61,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.15,SB21B.1025359,SB21B,ORG,MARRIOTT INTERNATIONAL,,,,,,10400 FERNWOOD RD,,BETHESDA,MD,20817,,,2024-09-17,107.00,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.16,SB21B.1025359,SB21B,ORG,JETBLUE AIRWAYS,,,,,,27-01 QUEENS PLAZA NORTH,,LONG ISLAND CITY,NY,11101,,,2024-09-27,30.00,,TRAVE: BAGGAGE FEES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.17,SB21B.1025359,SB21B,ORG,JETBLUE AIRWAYS,,,,,,27-01 QUEENS PLAZA NORTH,,LONG ISLAND CITY,NY,11101,,,2024-09-27,15.00,,TRAVE: BAGGAGE FEES,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.18,SB21B.1025359,SB21B,ORG,JETBLUE AIRWAYS,,,,,,27-01 QUEENS PLAZA NORTH,,LONG ISLAND CITY,NY,11101,,,2024-09-27,657.40,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.19,SB21B.1025359,SB21B,ORG,JETBLUE AIRWAYS,,,,,,27-01 QUEENS PLAZA NORTH,,LONG ISLAND CITY,NY,11101,,,2024-09-27,657.40,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.20,SB21B.1025359,SB21B,ORG,MARRIOTT INTERNATIONAL,,,,,,10400 FERNWOOD RD,,BETHESDA,MD,20817,,,2024-09-16,399.58,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.21,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-10,47.58,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.22,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-11,41.78,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.23,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-13,8.35,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.24,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-13,38.97,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.25,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-14,4.88,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.26,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-14,24.42,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.27,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-15,26.17,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
SB21B,C00873893,SB21B.1025359.28,SB21B.1025359,SB21B,ORG,UBER,,,,,,1455 MARKET STREET,#400,SAN FRANCISCO,CA,94103,,,2024-09-15,31.76,,TRAVEL: GROUND TRANSPORTATION,,,,,,,,,,,,,,,,,,,X
