form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00890913,SB21B.1,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BLVD, SUITE 530",,ARLINGTON,VA,22219,,,2024-10-21,1600.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.2,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-22,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.3,,,ORG,"ONMESSAGE, INC.",,,,,,"716 GIDDINGS AVE, #41",,ANNAPOLIS,MD,21401,,,2024-10-22,388750.00,,MEDIA PLACEMENT / MEDIA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.4,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BLVD, SUITE 530",,ARLINGTON,VA,22219,,,2024-10-22,2080.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.6,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-23,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.7,,,ORG,"ONMESSAGE, INC.",,,,,,"716 GIDDINGS AVE, #41",,ANNAPOLIS,MD,21401,,,2024-10-23,319741.44,,MEDIA PLACEMENT / MEDIA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.8,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BLVD, SUITE 530",,ARLINGTON,VA,22219,,,2024-10-24,240.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.9,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BLVD, SUITE 530",,ARLINGTON,VA,22219,,,2024-10-25,320.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.10,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-28,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00890913,SB21B.11,,,ORG,"ONMESSAGE, INC.",,,,,,"716 GIDDINGS AVE, #41",,ANNAPOLIS,MD,21401,,,2024-10-28,1009796.90,,MEDIA PLACEMENT / MEDIA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
