form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00765313,B-718,,,ORG,Catchthevote.com,,,,,,4605 East Joppa Road,,Perry Hall,MD,21128,,,2023-09-13,1000.00,,Consulting retainer,003,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-616,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-07-05,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-689,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-08-02,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-708,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-09-05,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-709,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-10-03,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-710,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-11-02,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-711,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2023-12-04,50.00,,Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-617,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-07-10,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-688,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-07-31,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-713,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-09-06,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-714,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-10-10,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-715,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-11-13,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765313,B-716,,,ORG,"Political Communications, Inc",,,,,,4340 Redwood Highway,F119,San Rafael,CA,94903,,,2023-12-14,150.00,,Compliance and Accounting,001,,,,,,,,,,,,,,,,,,,
