form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00756569,500691681,,,PAC,Arizona Democratic Party,,,,,,PO Box 36123,,Phoenix,AZ,850676123,,,2024-07-09,5000.00,0.00,PAC Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691649,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-07-04,10.56,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691651,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-07-18,20.00,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691653,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-08-05,16.08,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691654,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-08-05,10.00,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691657,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-08-16,20.00,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691658,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-08-16,15.00,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691661,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-08-21,15.00,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691662,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-09-05,7.46,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691665,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-09-18,20.00,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691666,,,ORG,Bankcard Center,,,,,,PO Box 30833,,Salt Lake City,UT,841300833,,,2024-09-30,15.00,0.00,PAC Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691696,,,ORG,"Call Server Technology, LLC",,,,,,44 DEANNA Ln,Ste A,Charleston,SC,29492,,,2024-08-07,4940.82,0.00,PAC Phone Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691699,,,ORG,"Call Server Technology, LLC",,,,,,44 DEANNA Ln,Ste A,Charleston,SC,29492,,,2024-09-20,9.90,0.00,PAC Phone Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,5664417I,5664417,SA11C,PAC,Everyday People PAC,,,,,,2606 9th St,,Berkeley,CA,947102518,,,2024-08-23,59.11,0.00,PAC Staff Time,,C00720029,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00756569,5664418I,5664418,SA11C,PAC,Everyday People PAC,,,,,,2606 9th St,,Berkeley,CA,947102518,,,2024-08-25,9433.58,0.00,PAC Travel Expenses,,C00720029,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00756569,5664423I,5664423,SA11C,PAC,Everyday People PAC,,,,,,2606 9th St,,Berkeley,CA,947102518,,,2024-09-06,3376.14,0.00,PAC Staff Time,,C00720029,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00756569,5664422I,5664422,SA11C,PAC,Everyday People PAC,,,,,,2606 9th St,,Berkeley,CA,947102518,,,2024-09-20,2565.16,0.00,PAC Staff Time,,C00720029,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00756569,500691678,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-07-10,999.00,0.00,PAC Office Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691682,,,ORG,Google Inc.,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-01,109.46,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
