form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00772673,18068692,,,ORG,Thinkbox Consulting LLC,,,,,,82-67 Austin St.,#311,Kew Gardens,NY,11415,,,2024-02-22,2700.00,0.00,Media Advertising; Consulting,003,,,,,,,,,,,,,,,,,,,Media Advertising; Consulting
SB29,C00772673,18074633,,,ORG,Ballard Spahr LLP,,,,,,"1909 K Street, NW",12th Floor,Washington,DC,20006,,,2024-03-07,1000.00,0.00,Legal Fees,001,,,,,,,,,,,,,,,,,,,Legal Fees
SB29,C00772673,18150958,,,ORG,Ballard Spahr LLP,,,,,,"1909 K Street, NW",12th Floor,Washington,DC,20006,,,2024-01-04,1000.00,0.00,Legal Fees,001,,,,,,,,,,,,,,,,,,,Legal Fees
SB29,C00772673,18150960,,,ORG,Mailchimp,,,,,,675 Ponce de Leon Ave NE Suite 500,,Atlanta,GA,30308,,,2024-01-24,481.24,0.00,Mail Postage/Advertising,001,,,,,,,,,,,,,,,,,,,Mail Postage/Advertising
SB29,C00772673,18150962,,,ORG,PNC Bank,,,,,,PO Box 609,,Pittsburgh,PA,15230,,,2024-01-31,440.98,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00772673,18150964,,,ORG,Mailchimp,,,,,,675 Ponce de Leon Ave NE Suite 500,,Atlanta,GA,30308,,,2024-02-26,481.24,0.00,Mail Postage/Advertising,001,,,,,,,,,,,,,,,,,,,Mail Postage/Advertising
SB29,C00772673,18150967,,,ORG,PNC Bank,,,,,,PO Box 609,,Pittsburgh,PA,15230,,,2024-02-29,274.48,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00772673,18150968,,,ORG,Zoom USA,,,,,,55 Almaden Boulevard,,San Jose,CA,95113,,,2024-03-25,83.74,0.00,Zoom Fee,001,,,,,,,,,,,,,,,,,,,Zoom Fee
SB29,C00772673,18150969,,,ORG,Mailchimp,,,,,,675 Ponce de Leon Ave NE Suite 500,,Atlanta,GA,30308,,,2024-03-25,481.24,0.00,Mail Postage/Advertising,001,,,,,,,,,,,,,,,,,,,Mail Postage/Advertising
SB29,C00772673,18150971,,,ORG,PNC Bank,,,,,,PO Box 609,,Pittsburgh,PA,15230,,,2024-03-11,335.92,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00772673,18150972,,,ORG,United States Postal Service,,,,,,222 E State Street,,Kennett Square,PA,19348,,,2024-02-22,400.00,0.00,Postage Mailing Services,001,,,,,,,,,,,,,,,,,,,Postage Mailing Services
