form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00504530,SB.1,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-25,14.34,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.4,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-26,15.06,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.7,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-28,26.00,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.11,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-29,73.26,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.47,,,ORG,Jones Day,,,,,,51 Louisiana Ave. NW,,Washington,DC,20001,,,2024-01-30,960.00,,Legal services,001,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.61,,,ORG,Prospect Strategic Communications,,,,,,3033 Wilson Blvd.,Suite E-116,Arlington,VA,22201,,,2024-01-30,15306.22,,Research services,005,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.14,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-30,24.57,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.17,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-01-31,13.21,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.60,,,ORG,"Meeting Street Research, LLC",,,,,,962 Houston Northcutt Blvd.,Suite 201,Mount Pleasant,SC,29464,,,2024-02-01,30000.00,,Research services,005,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.63,,,ORG,"Strategic Advance Services, LLC",,,,,,611 Pennsylvania Ave. SE,Suite 267,Washington,DC,20003,,,2024-02-01,8093.49,,Travel and event planning services,002,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.18,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-02-01,167.26,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.19,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Blvd.,Suite 530,Arlington,VA,22209,,,2024-02-01,19.88,,Merchant fee,003,,,,,,,,,,,,  ,,,,,,,
SB29,C00504530,SB.48,,,ORG,"Crosby Ottenhoff Group, LLC",,,,,,611 Pennsylvania Ave SE,#267,Washington,DC,20003,,,2024-02-02,23817.50,,Accounting and compliance,001,,,,,,,,,,,,  ,,,,,,,
