form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00849042,SB21B.4277,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-07-05,481.72,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4278,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-10,1947.40,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4279,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-10,580.58,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4280,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-11,2278.67,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4281,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-11,308.48,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4282,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-12,1692.95,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4283,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-12,616.96,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4284,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-17,308.48,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4285,,,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-07-17,1010.24,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4286,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-08-02,262.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4287,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-08-05,525.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4288,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-09-16,350.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
