form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00448373,SB21B.I15925,,,ORG,BACK PORCH BUSINESS SOLUTIONS,,,,,,P.O. BOX 25204,,LITTLE ROCK,AR,72221,,,2023-07-01,7000.00,,ACCOUNTING SERVICES CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15561,,,ORG,FIRST VIRGINIA COMMUNITY BANK,,,,,,"11325 RANDOM HILLS RD, STE 240",STE 240,FAIRFAX,VA,22030,,,2023-07-03,772.83,,BANK SERVICE CHARGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15576,,,ORG,GLOBAL PAYMENTS,,,,,,10705 RED RUN BLVD,,ROCKVILLE,MD,20855,,,2023-07-03,1478.60,,CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15913,,,ORG,SECURITY BANKCARD CENTER,,,,,,P.O. BOX 6139,,NORMAN,OK,73070,,,2023-07-03,59.37,,CREDIT CARD PAYMENT - SEE MEMO ITEM,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15914,SB21B.I15913,SB21B,ORG,"RING CENTRAL, INC.",,,,,,1400 FASHION ISLAND BOULEVARD,7TH FLOOR,SAN MATEO,CA,94404,,,2023-07-03,59.37,,TELEPHONE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00448373,SB21B.I15820,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-05,2000.00,,POSTAGE & DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15821,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-05,4436.73,,POSTAGE & DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15822,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-05,4438.46,,POSTAGE & DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15823,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-05,981.14,,POSTAGE & DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00448373,SB21B.I15824,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-05,979.59,,POSTAGE & DELIVERY,,,,,,,,,,,,,  ,,,,,,,
