form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00709113,SB21B.118317,,,ORG,A&A COORDINATORS OF AMERICA,,,,,,2915 BISCAYNE BLVD,STE 300,MIAMI,FL,33137,,,2024-08-20,5000.00,,WEBSITE MARKETING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118344,,,ORG,"ADVANCED CREATIVE MEDIA, INC",,,,,,144 MIDWEST AVE STE 209B,,CASPER,WY,82601,,,2024-07-30,49900.98,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118355,,,ORG,"ADVANCED CREATIVE MEDIA, INC",,,,,,144 MIDWEST AVE STE 209B,,CASPER,WY,82601,,,2024-08-30,23204.64,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118363,,,ORG,"ADVANCED CREATIVE MEDIA, INC",,,,,,144 MIDWEST AVE STE 209B,,CASPER,WY,82601,,,2024-09-30,44145.39,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118347,,,ORG,AVERY SERVICES LLC,,,,,,990 SPRUCE ST,,LAWRENCE,NJ,08648,,,2024-07-31,1517.72,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118356,,,ORG,AVERY SERVICES LLC,,,,,,990 SPRUCE ST,,LAWRENCE,NJ,08648,,,2024-08-30,31.50,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118316,,,ORG,CAPITOL TREASURY ASSOCIATES LLC,,,,,,7216 VIA CORRETO,,AUSTIN,TX,78748,,,2024-08-09,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118326,,,ORG,CRISIS RELIEF CONSULTANTS,,,,,,3622 S. TYLER STREET,,DALLAS,TX,75224,,,2024-09-20,66000.00,,PAC MANAGEMENT CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118348,,,ORG,DONOR SOLUTIONS INC,,,,,,2222 WEST GRAND RIVER AVENUE,STE A,OKEMOS,MI,48864,,,2024-07-31,238.50,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118357,,,ORG,DONOR SOLUTIONS INC,,,,,,2222 WEST GRAND RIVER AVENUE,STE A,OKEMOS,MI,48864,,,2024-08-30,1831.93,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118364,,,ORG,DONOR SOLUTIONS INC,,,,,,2222 WEST GRAND RIVER AVENUE,STE A,OKEMOS,MI,48864,,,2024-09-30,292.50,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118349,,,ORG,DS3 MARKETING,,,,,,1607 PONCE DE LEON AVE,SUITE GM08,SAN JUAN,PR,00909,,,2024-07-31,5823.08,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118358,,,ORG,DS3 MARKETING,,,,,,1607 PONCE DE LEON AVE,SUITE GM08,SAN JUAN,PR,00909,,,2024-08-30,2323.49,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118365,,,ORG,DS3 MARKETING,,,,,,1607 PONCE DE LEON AVE,SUITE GM08,SAN JUAN,PR,00909,,,2024-09-30,7128.28,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118320,,,ORG,GODADDY,,,,,,14455 N HAYDEN ROAD,,SCOTTSDALE,AZ,85260,,,2024-09-30,486.69,,WEBSITE HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118350,,,ORG,GSI,,,,,,6655 CHICAGO ROAD,STE A,WARREN,MI,48092,,,2024-07-31,12303.64,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118359,,,ORG,GSI,,,,,,6655 CHICAGO ROAD,STE A,WARREN,MI,48092,,,2024-08-30,7958.14,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118366,,,ORG,GSI,,,,,,6655 CHICAGO ROAD,STE A,WARREN,MI,48092,,,2024-09-30,10457.46,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118354,,,ORG,M&D LOGISTICS LLC,,,,,,680 S CACHE ST,STE 100-10219,JACKSON,WY,83001,,,2024-07-31,4404.00,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118362,,,ORG,M&D LOGISTICS LLC,,,,,,680 S CACHE ST,STE 100-10219,JACKSON,WY,83001,,,2024-08-30,2592.00,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118370,,,ORG,M&D LOGISTICS LLC,,,,,,680 S CACHE ST,STE 100-10219,JACKSON,WY,83001,,,2024-09-30,3120.00,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118351,,,ORG,OFFICE EDGE LLC,,,,,,94 WANAQUE AVE,#185,POMTON LAKES,NJ,07442,,,2024-07-31,2071.54,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118367,,,ORG,OFFICE EDGE LLC,,,,,,94 WANAQUE AVE,#185,POMTON LAKES,NJ,07442,,,2024-09-30,300.69,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118318,,,ORG,OPUS OFFICE RENTAL,,,,,,3626 NORTH HALL STREET,STE 160,DALLAS,TX,75219,,,2024-07-22,297.00,,RENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118352,,,ORG,POLITICAL RESPONSE LLC,,,,,,30 N GOULD ST,SUITE R,SHERIDAN,WY,82801,,,2024-07-31,267.05,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00709113,SB21B.118360,,,ORG,POLITICAL RESPONSE LLC,,,,,,30 N GOULD ST,SUITE R,SHERIDAN,WY,82801,,,2024-08-30,719.10,,FINANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
