form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00623512,SB21B.I26349,,,ORG,"CAMPAIGN MAIL & DATA, INC. DBA CMDI",,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-04-16,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26375,,,ORG,"PROFESSIONAL DATA SERVICES, INC",,,,,,824 SOUTH MILLEDGE AVENUE,STE 101,ATHENS,GA,30605,,,2024-04-26,521.00,,PAC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26284,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-05,429.50,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26339,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-11,113.44,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26353,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-18,1332.60,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26354,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-21,652.69,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26358,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-23,466.76,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26376,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-04-29,490.50,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26261,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-04-05,25.00,,PAC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26277,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-04-05,5310.86,,SEE MEMO ITEMS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26343,SB21B.I26277,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,MD 5675,DALLAS,TX,75261,,,2024-04-05,1071.60,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26345,SB21B.I26277,SB21B,ORG,FAIRMONT EL SAN JUAN HOTEL,,,,,,6063 AVENIDA ISLA VERDE,,CAROLINA,PR,00979,,,2024-04-05,3488.66,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26344,SB21B.I26277,SB21B,ORG,UNITED AIRLINES,,,,,,233 SOUTH WACKER DRIVE,,CHICAGO,IL,60606,,,2024-04-05,750.60,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26350,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-04-16,279.71,,SEE MEMO ITEMS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26351,SB21B.I26350,SB21B,ORG,TRATTORIA ALBERTO,,,,,,508 8TH ST SE,,WASHINGTON,DC,20003,,,2024-04-16,258.16,,PAC MEETING EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26278,,,ORG,THE OORBEEK MEMMOTT GROUP,,,,,,"611 PENNSYLVANIA AVE, SE",#424,WASHINGTON,DC,20003,,,2024-04-05,3905.53,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26279,,,ORG,THE OORBEEK MEMMOTT GROUP,,,,,,"611 PENNSYLVANIA AVE, SE",#424,WASHINGTON,DC,20003,,,2024-04-05,19475.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
