form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00710178,SB21B-997873,,,ORG,"ADVANCE CREATIVE MEDIA, INC",,,,,,144 E MIDWEST AVENUE,STE 209B,CASPER,WY,82601,,,2024-06-30,11270.85,24834.99,"FUNDRAISING, PAYMENT, TECHNICAL & COMPLIANCE SVCS",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997817,,,ORG,BANK OF LABOR,,,,,,756 MINNESOTA AVENUE,,KANSAS CITY,KS,66101,,,2024-06-18,50.36,302.34,BANK SERVICE CHARGE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997835,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-05,902.65,65618.75,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997837,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-12,1037.55,65618.75,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997839,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-19,1137.88,65618.75,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997841,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-26,468.10,65618.75,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997819,,,ORG,EXPANSIVE,,,,,,318 WEST ADAMS STREET,,CHICAGO,IL,60606,,,2024-06-04,379.00,379.00,OFFICE RENT EXPENSE FOR LEGISLATIVE REP.,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997843,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-05,878.91,62295.34,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997845,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-12,1010.25,62295.34,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997847,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-19,1107.92,62295.34,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997849,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-06-26,455.79,62295.34,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997821,,,ORG,MASTERCARD,,,,,,PO BOX 672051,,DALLAS,TX,752672021,,,2024-06-11,79.85,1016.87,CREDIT CARD PAYMENT,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997869,,,ORG,MICROSOFT,,,,,,ONE MICROSOFT WAY,,REDMOND,WA,980526399,,,2024-06-04,54.00,270.00,IT SUPPORT,001,,,,,,,,,,,,,,,,,00000,X,(Credit Card Purchase)
SB21B,C00710178,SB21B-997813,,,ORG,PACSMART FILING SERVICE LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-06-03,800.00,5000.00,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997815,,,ORG,PACSMART FILING SERVICE LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-06-12,200.00,5000.00,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997827,,,ORG,PNC  BANK,,,,,,5440 CLARK RD,,SARASOTA,FL,34233,,,2024-06-03,338.24,3316.44,BANK SERVICE CHARGE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-997829,,,ORG,PNC  BANK,,,,,,5440 CLARK RD,,SARASOTA,FL,34233,,,2024-06-03,181.51,3316.44,CREDIT CARD PROCESSING,001,,,,,,,,,,,,,,,,,00000,,
