form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00522425,SB21B.I29980,,,IND,,ALLEN,MARK,STEPHEN,,,"247 CLERMONT AVE, #4",,BROOKLYN,NY,11205,,,2024-04-30,4000.00,,PAC MEDIA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29981,,,IND,,D'ANTONIO,MICHAEL,,MR.,,1 ARLINGTON CT.,,MILLER PLACE,NY,11764,,,2024-04-30,5000.00,,PAC STRATEGY CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29977,,,IND,,KINZINGER,ADAM,,,,25566 S KEATING BOULEVARD,APARTMENT GB,CHANNAHON,IL,604105623,,,2024-04-24,879.00,,SEE MEMO,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29978,SB21B.I29977,SB21B,ORG,SIGNATURE FLIGHT SUPPORT,,,,,,1601 N MARGINAL RD,,CLEVELAND,OH,44114,,,2024-04-24,691.00,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00522425,SB21B.I29934,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,708844314,,,2024-04-07,31.41,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29970,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,708844314,,,2024-04-13,8.01,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29971,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,708844314,,,2024-04-19,14.13,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29972,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,708844314,,,2024-04-28,21.73,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29973,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,708844314,,,2024-04-30,6.09,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00522425,SB21B.I29933,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,VIENNA,VA,22182,,,2024-04-03,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
