form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834630,SB21B.1,,,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-08-18,-4013.16,,"PRE PAID - MEDIA PRODUCTION; IE PAID 8/18/2023, SEE SCH E",,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.2,,,ORG,THE MORNING GROUP LLC,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2024-01-02,3750.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.3,,,ORG,KA CONSULTING LLC,,,,,,2943 BENTON PLACE NW,,WASHINGTON,DC,20008,,,2024-01-17,30000.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.4,,,ORG,"CROSBY OTTENHOFF GROUP, LLC",,,,,,611 PENNSYLVANIA AVE SE,#267,WASHINGTON,DC,20003,,,2024-01-25,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.5,,,ORG,THE MORNING GROUP LLC,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2024-01-31,3750.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.6,,,ORG,BERKE FARAH LLP,,,,,,701 8TH STREET NW,SUITE 620,WASHINGTON,DC,20001,,,2024-02-07,360.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.9,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-12,2265.50,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.11,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-14,826.45,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.12,,,ORG,"CROSBY OTTENHOFF GROUP, LLC",,,,,,611 PENNSYLVANIA AVE SE,#267,WASHINGTON,DC,20003,,,2024-02-16,2456.60,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.14,,,ORG,JTA MEDIA BUYING SERVICES LLC,,,,,,23801 NORTH 85TH STREET,,SCOTTSDALE,AZ,85255,,,2024-02-26,144000.00,,MEDIA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834630,SB21B.15,,,ORG,"TEMPLAR BAKER GROUP, LLC",,,,,,17800 LAUREL PARK DR N,SUITE 200C,LIVONIA,MI,48152,,,2024-02-28,20557.70,,FUNDRAISING CONSULTING / TRAVEL ,,,,,,,,,,,,,  ,,,,,,,
