form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754051,B873438,,,ORG,ActBlue,,,,,,366 Summer Street,,Somerville,MA,02144,O2024,Not Applicable,2024-04-01,1.59,,Credit Card Processing Fee,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873439,,,ORG,ActBlue,,,,,,366 Summer Street,,Somerville,MA,02144,O2024,Not Applicable,2024-04-08,198.65,,Credit Card Processing Fee,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873440,,,ORG,ActBlue,,,,,,366 Summer Street,,Somerville,MA,02144,O2024,Not Applicable,2024-04-15,0.99,,Credit Card Processing Fee,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873441,,,ORG,ActBlue,,,,,,366 Summer Street,,Somerville,MA,02144,O2024,Not Applicable,2024-04-22,5.55,,Credit Card Processing Fee,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873442,,,ORG,ActBlue,,,,,,366 Summer Street,,Somerville,MA,02144,O2024,Not Applicable,2024-04-29,5.74,,Credit Card Processing Fee,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873437,,,ORG,Bank of Labor,,,,,,756 Minnesota Ave,,Kansas City,KS,66101,O2024,Not Applicable,2024-04-16,77.30,,Bank Service Charge,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B870253,,,ORG,Bank of Labor,,,,,,8325 Lenexa Dr Suite 300,,Lenexa,KS,66214,O2024,Not Applicable,2024-04-17,4355.45,,Credit Card Payment See Breakdown Below,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873452,,,ORG,Costco Inc,,,,,,6881 8th Street,,Buena Park,CA,90620,O2024,Not Applicable,2024-04-17,992.38,,Water and Snacks for Canvassers to be reimbursed by We Vote We Win,001,,,,,,,,,,, ,,,,,,,X,Water and Snacks for Canvassers
SB21B,C00754051,B873448,,,ORG,Walmart Stores Inc.,,,,,,702 Southwest 8th Street,,Bentonville,AR,72716,O2024,Not Applicable,2024-04-17,274.92,,PPE and Other Supplies for Canvassers to be reimbursed by UHSL,001,,,,,,,,,,, ,,,,,,,X,PPE and Other Supplies for Canvassers
SB21B,C00754051,B873453,,,ORG,Harbor Freight Tools,,,,,,26802 Agoura Rd,,Calabasas,CA,91302,O2024,Not Applicable,2024-04-17,219.96,,Tool Supplies for Canvassers to be reimbursed by We Vote We Win,001,,,,,,,,,,, ,,,,,,,X,Tool Supplies for Canvassers
SB21B,C00754051,B873449,,,ORG,Carolina BBQ & Chicken,,,,,,1479 Julian R Allsbrook Hwy,,Roanoke Rapids,NC,27870,O2024,Not Applicable,2024-04-17,260.76,,Food for Canvassers to be reimbursed by UNITE HERE State&Local (UHSL),001,,,,,,,,,,, ,,,,,,,X,Food Supplies for Canvassers
SB21B,C00754051,B873451,,,ORG,Fairwood Lanes,,,,,,201 Old Farm Rd S,,Roanoke Rapids,NC,27870,O2024,Not Applicable,2024-04-17,296.58,,Travel & Meals to be reimbursed by UNITE HERE State&Local (UHSL),001,,,,,,,,,,, ,,,,,,,X,Travel & Meals
SB21B,C00754051,B873450,,,ORG,Jersey Mike's Subs,,,,,,2251 Landmark Place,,Manasquan,NJ,08736,O2024,Not Applicable,2024-04-17,284.05,,Food for Canvassers to be reimbursed by UNITE HERE State&Local (UHSL),001,,,,,,,,,,, ,,,,,,,X,Food Supplies for Canvassers
SB21B,C00754051,B873454,,,ORG,Stay Tuned Burgers,,,,,,1675 S Industrial Rd,,Las Vegas,NV,89102,O2024,Not Applicable,2024-04-17,984.09,,Food for Canvassers to be reimbursed by We Vote We Win,001,,,,,,,,,,, ,,,,,,,X,Food for Canvassers
SB21B,C00754051,B873455,,,ORG,Houston TX Hot Chicken (HHC),,,,,,1201 South Main Street,,Las Vegas,NV,89104,O2024,Not Applicable,2024-04-17,802.62,,Food for Canvassers to be reimbursed by We Vote We Win,001,,,,,,,,,,, ,,,,,,,X,Food for Canvassers
SB21B,C00754051,B870254,,,ORG,Bank of Labor,,,,,,8325 Lenexa Dr Suite 300,,Lenexa,KS,66214,O2024,Not Applicable,2024-04-17,7064.74,,Credit Card Payment See Breakdown Below,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B873447,,,ORG,Best Western Hotels,,,,,,6201 North 24th Parkway,,Phoenix,AZ,85016,O2024,Not Applicable,2024-04-17,7064.74,,Hotel and Travel expenses for Canvassers to be reimbursed by UHSL,002,,,,,,,,,,, ,,,,,,,X,Hotel and Travel expenses for Canvassers
SB21B,C00754051,B869249,,,ORG,Financial Innovations Inc,,,,,,One Weingeroff Boulevard,,Cranston,RI,02910,O2024,Not Applicable,2024-04-02,2309.21,,UNITE HERE campaign gear for canvassers,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B870718,,,ORG,Financial Innovations Inc,,,,,,One Weingeroff Boulevard,,Cranston,RI,02910,O2024,Not Applicable,2024-04-25,172.83,,Sales tax on UNITE HERE campaign gear for canvassers,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B869397,,,ORG,Public Affairs Support Services Inc.,,,,,,1950 Roland Clarke Place Suite 300,,Reston,VA,20191,O2024,Not Applicable,2024-04-04,1681.30,,Campaign Finance recordkeeping and reporting,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B870967,,,ORG,Public Affairs Support Services Inc.,,,,,,1950 Roland Clarke Place Suite 300,,Reston,VA,20191,O2024,Not Applicable,2024-04-29,1228.87,,Campaign Finance recordkeeping and reporting,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B871101,,,ORG,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,O2024,Not Applicable,2024-04-30,33094.97,,Reimbursement for car rentals for canvassers,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B871102,,,ORG,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,O2024,Not Applicable,2024-04-30,5163.14,,Reimbursement for car rentals for canvassers,001,,,,,,,,,,, ,,,,,,,,
SB21B,C00754051,B871104,,,ORG,UNITE HERE,,,,,,275 7th Avenue,,New York,NY,10001,O2024,Not Applicable,2024-04-30,7338.24,,"Reimbursement for transportation, postage and phone costs for canvassers",001,,,,,,,,,,, ,,,,,,,,
