form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00773234,SB21B.4737,,,ORG,Barclays,,,,,,PO Box 60517,,City of Industry,CA,91716,O2024,Other,2024-07-09,3855.06,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00773234,SB21B.4737.0,SB21B.4737,SB21B,ORG,New Congressional Liquor & Deli,,,,,,404 1st St SE,,Washington,DC,20003,,,2024-05-14,71.68,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.1,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-15,11.90,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.3,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-15,35.75,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.4,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-15,35.75,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.5,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-15,36.47,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.6,SB21B.4737,SB21B,ORG,The Point,,,,,,2100 2nd St SW,,Washington,DC,20024,,,2024-05-16,155.42,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.7,SB21B.4737,SB21B,ORG,Little Pearl,,,,,,921 Pennsylvania Ave SE,,Washington,DC,20003,,,2024-05-16,680.63,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.8,SB21B.4737,SB21B,ORG,New Congressional Liquor & Deli,,,,,,404 1st St SE,,Washington,DC,20003,,,2024-05-16,62.86,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.9,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-17,39.30,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.11,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-19,35.75,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.12,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-19,39.36,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.13,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-19,39.30,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.14,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-17,35.75,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.16,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-05-23,37.60,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.18,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-04,52.01,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.21,SB21B.4737,SB21B,ORG,Hotel Collectionneau,,,,,,51-57 Rue de Courcelles,,Paris France,ZZ,75008,,,2024-06-07,562.79,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.22,SB21B.4737,SB21B,ORG,Bistrot Gaite,,,,,,10 Rue de la Gaite,,Paris France,ZZ,75014,,,2024-06-08,281.32,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.23,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-07,13.44,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.24,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-08,13.54,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.25,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-07,25.33,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.26,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-08,16.62,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.27,SB21B.4737,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-06-07,14.96,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.29,SB21B.4737,SB21B,ORG,Hotel Collectionneau,,,,,,51-57 Rue de Courcelles,,Paris France,ZZ,75008,,,2024-06-08,441.05,,Hotel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.30,SB21B.4737,SB21B,ORG,Amazon,,,,,,440 Terry Ave N,,Seattle,WA,98109,,,2024-06-11,153.81,,Event Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.31,SB21B.4737,SB21B,ORG,Total Wine,,,,,,3901 Richmod Hwy,,Alexandria,VA,22305,,,2024-06-11,82.49,,Event Beverages,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.33,SB21B.4737,SB21B,ORG,Live-K,,,,,,730 Maine Ave SW,,Washington,DC,20024,,,2024-06-11,346.77,,Event Venue/Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.34,SB21B.4737,SB21B,ORG,Live-K,,,,,,730 Maine Ave SW,,Washington,DC,20024,,,2024-06-12,111.07,,Event Venue/Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4737.35,SB21B.4737,SB21B,ORG,Live-K,,,,,,730 Maine Ave SW,,Washington,DC,20024,,,2024-06-12,70.25,,Event Venue/Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739,,,ORG,Barclays,,,,,,PO Box 60517,,City of Industry,CA,91716,O2024,Other,2024-08-02,894.41,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00773234,SB21B.4739.0,SB21B.4739,SB21B,ORG,Sodexo,,,,,,US House of Representatives,,Washington,DC,20515,O2024,Other,2024-06-14,28.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.2,SB21B.4739,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,O2024,Other,2024-06-20,9.98,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.3,SB21B.4739,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,O2024,Other,2024-06-23,6.25,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.4,SB21B.4739,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,O2024,Other,2024-06-23,36.95,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.6,SB21B.4739,SB21B,ORG,Tune Inn Inc.,,,,,,331 1-2 Pennsylvania Ave SE,,Washington,DC,20003,O2024,Other,2024-06-26,68.85,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.8,SB21B.4739,SB21B,ORG,Gordon Ramsay Hell's Kitchen,,,,,,652 Wharf St,,Washington,DC,20024,O2024,Other,2024-06-27,449.50,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4739.9,SB21B.4739,SB21B,ORG,Gordon Ramsay Hell's Kitchen,,,,,,652 Wharf St,,Washington,DC,20024,O2024,Other,2024-06-27,54.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752,,,ORG,Barclays,,,,,,PO Box 60517,,City of Industry,CA,91716,O2024,Other,2024-09-05,2833.44,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00773234,SB21B.4752.0,SB21B.4752,SB21B,ORG,Amazon,,,,,,440 Terry Ave N,,Seattle,WA,98109,,,2024-07-23,70.72,,Event Supplies,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.3,SB21B.4752,SB21B,ORG,New Congressional Liquor & Deli,,,,,,404 1st St SE,,Washington,DC,20003,,,2024-07-24,357.82,,Food/Drinks,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.4,SB21B.4752,SB21B,ORG,Han Palace,,,,,,522 8th St SE,,Washington,DC,20003,,,2024-07-24,1375.02,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.6,SB21B.4752,SB21B,ORG,Sodexo,,,,,,US House of Representatives,,Washington,DC,20515,,,2024-07-25,41.82,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.7,SB21B.4752,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-08-04,36.81,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.13,SB21B.4752,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-08-11,10.38,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.14,SB21B.4752,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-08-12,6.42,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4752.15,SB21B.4752,SB21B,ORG,Uber,,,,,,1455 Market Street,Suite 400,San Francisco,CA,94103,,,2024-08-12,5.30,,Taxi,,,,,,,,,,,,,,,,,,,X,
SB21B,C00773234,SB21B.4697,,,ORG,Les Williamson LLC,,,,,,1305 W 11th St,#213,Houston,TX,77008,O2024,Other,2024-07-02,454.23,,Compliance Consulting/Shipping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00773234,SB21B.4738,,,ORG,Les Williamson LLC,,,,,,1305 W 11th St,#213,Houston,TX,77008,O2024,Other,2024-08-02,600.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
