form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00771543,SB21B.I17955,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 650448,,DALLAS,TX,752650448,,,2024-12-04,1942.85,,CREDIT CARD PAYMENT,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17973,SB21B.I17955,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-11-16,1534.38,,AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00771543,SB21B.I17972,SB21B.I17955,SB21B,ORG,UNITED AIRLINES,,,,,,600 JEFFERSON STREET,,HOUSTON,TX,770027363,,,2024-11-22,408.47,,AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00771543,SB21B.I17934,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-11-26,100.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17960,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-04,396.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17971,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-12,60.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17986,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-16,40.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17987,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-17,40.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17996,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-24,500.60,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17997,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-27,548.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I18002,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701135431,,,2024-12-30,1192.60,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17950,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,221822245,,,2024-12-03,250.00,,SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17953,,,ORG,"FIELDSTONE STRATEGIES, LLC",,,,,,1254 ABERDEEN AVENUE,,BATON ROUGE,LA,70808,,,2024-12-02,6950.00,,FINANCE CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17963,,,ORG,"FIELDSTONE STRATEGIES, LLC",,,,,,1254 ABERDEEN AVENUE,,BATON ROUGE,LA,70808,,,2024-12-09,83.80,,POSTAGE/FUEL,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I18005,,,ORG,"FIELDSTONE STRATEGIES, LLC",,,,,,1254 ABERDEEN AVENUE,,BATON ROUGE,LA,70808,,,2024-12-30,8137.24,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00771543,SB21B.I17958,,,ORG,LES WILLIAMSON LLC,,,,,,1305 W 11TH ST,#213,HOUSTON,TX,77008,,,2024-12-04,2897.25,,COMPLIANCE CONSULTING/AIRFARE/TAXI/SHIPPING,001,,,,,,,,,,,,  ,,,,,,,
