form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00856252,B-434,,,ORG,4Imprint,,,,,,101 Commerce Street,,Oshkosh,WI,54901,,,2024-05-14,318.20,,branded shirts,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-521,,,ORG,Amazon,,,,,,410 Terry Avenue North,,Seattle,WA,98109,,,2024-06-10,81.71,,"office supplies, teleprompter",001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-441,,,ORG,American Airlines,,,,,,1 Skyview Drive,,Fort Worth,TX,76155,,,2024-05-24,9.88,,airline fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-442,,,ORG,American Airlines,,,,,,1 Skyview Drive,,Fort Worth,TX,76155,,,2024-05-24,229.48,,Airfaire to Project Liberal Event,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-552,,,ORG,Anedot,,,,,,1340 Poydras Street,,New Orleans,LA,70112,,,2024-06-20,3.90,,transaction fees on batch deposit,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-554,,,ORG,Anedot,,,,,,1340 Poydras Street,,New Orleans,LA,70112,,,2024-06-20,42.90,,transaction fees on batch deposit,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-556,,,ORG,Anedot,,,,,,1340 Poydras Street,,New Orleans,LA,70112,,,2024-06-21,1.30,,transaction fees on batch deposit,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-558,,,ORG,Anedot,,,,,,1340 Poydras Street,,New Orleans,LA,70112,,,2024-06-25,1.30,,transaction fees on batch deposit,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-443,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-05-24,238.98,,Airfaire from Project Liberal Event,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-350,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-04-22,62.93,,Website domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-435,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-05-15,12.00,,Website domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-439,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-05-22,62.93,,Website domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-421,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-05-02,50.00,,Accounting software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-428,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-05-02,50.00,,Accounting software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-520,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-06-04,70.00,,Accounting software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-347,,,ORG,Notion Labs,,,,,,2300 Harrison Street,,San Francisco,CA,94110,,,2024-04-15,839.04,,"Note taking software, paid in full for year",001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-436,,,ORG,Notion Labs,,,,,,2300 Harrison Street,,San Francisco,CA,94110,,,2024-05-15,1144.77,,"Note taking software, paid in full for year",001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-450,,,ORG,Paddle.net Hypefury,,,,,,651 North Broad Street,,Middletown,DE,19709,,,2024-05-28,71.01,,social media management software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-535,,,ORG,Paddle.net Hypefury,,,,,,651 North Broad Street,,Middletown,DE,19709,,,2024-06-28,71.34,,social media management software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-447,,,ORG,Sonesta Washington,,,,,,2121 P Street Northwest,,Washington,DC,20037,,,2024-05-28,4365.50,,Project Liberal Convention Venue,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-522,,,ORG,Twitter Paid,,,,,,1355 Market Street,,San Francisco,CA,94103,,,2024-06-14,14.89,,Social Media platform,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-530,,,ORG,Twitter Paid,,,,,,1355 Market Street,,San Francisco,CA,94103,,,2024-06-20,79.06,,Social Media platform,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-561,,,ORG,Twitter Paid,,,,,,1355 Market Street,,San Francisco,CA,94103,,,2024-06-26,44.56,,Social Media platform,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-348,,,ORG,Zapier,,,,,,548 Market Street,#62411,San Francisco,CA,94104,,,2024-04-15,105.21,,CRM Automation Software monthly payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-437,,,ORG,Zapier,,,,,,548 Market Street,#62411,San Francisco,CA,94104,,,2024-05-15,102.15,,CRM Automation Software monthly payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-526,,,ORG,Zapier,,,,,,548 Market Street,#62411,San Francisco,CA,94104,,,2024-06-17,102.62,,CRM Automation Software monthly payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-349,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-04-15,31.68,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-352,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-04-29,114.71,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-438,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-05-15,31.68,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-451,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-05-28,114.71,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-527,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-06-17,31.83,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
SB21B,C00856252,B-536,,,ORG,Zoho Corporation,,,,,,4141 Hacienda Drive,,Pleasanton,CA,94588,,,2024-06-28,115.24,,CRM Software host,001,,,,,,,,,,,,,,,,,,,
