form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00793000,SB29.4518,,,ORG,Auto-Owners Insurance,,,,,,6101 Anacapri Blvd,,Lansing,MI,48917,,,2024-09-03,203.50,,Non-Contribution Account: Insurance,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4505,,,ORG,Bay Woods LLC,,,,,,4138 Mt Maria Rd,,Lake Hubbard,MI,49747,,,2024-08-09,3500.00,,Non-Contribution Account: Rent Deposit,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4507,,,ORG,Bay Woods LLC,,,,,,4138 Mt Maria Rd,,Lake Hubbard,MI,49747,,,2024-08-09,2145.00,,Non-Contribution Account: Rent,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4508,,,ORG,Bay Woods LLC,,,,,,4138 Mt Maria Rd,,Lake Hubbard,MI,49747,,,2024-08-21,3613.00,,Non-Contribution Account: Rent,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4509,,,ORG,Bay Woods LLC,,,,,,4138 Mt Maria Rd,,Lake Hubbard,MI,49747,,,2024-09-26,3500.00,,Non-Contribution Account: Rent,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4504,,,ORG,Caplin & Drysdale,,,,,,1 Thomas Cir NW,Ste 1100,Washington,DC,20005,,,2024-09-04,242.50,,Non-Contribution Account: Legal Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4483,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-07-01,13.33,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4484,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-07-02,36.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4485,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-08-01,36.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4486,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-08-02,13.41,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4487,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-09-03,36.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
