form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00712885,SB21B-1013079,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-01,193.00,579.00,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1014089,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-11-08,333.00,84926.40,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013081,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-21,28.19,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013083,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-22,2083.38,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013085,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-25,27.03,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013087,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-01,14.85,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013089,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-12,12.53,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013091,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-15,9.92,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013093,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-22,17.46,2193.36,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1013095,,,ORG,NORTH STAR MULTIMEDIA,,,,,,9360 W. FLAMINGO,#110-226,LAS VEGAS,NV,89147,,,2024-10-18,805.00,805.00,WEBSITE AND DOMAIN RENEWAL,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1014091,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-11-08,333.00,63296.28,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00712885,SB21B-1014093,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-11-08,333.00,163905.48,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
