form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00848937,SB21B.12422,,,ORG,Actblue,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-03-31,1957.62,,merchant fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12418,,,ORG,Action Network,,,,,,1900 L Street NW,,Washington,DC,20036,,,2024-01-02,723.35,,database mgmt,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12420,,,ORG,Action Network,,,,,,1900 L Street NW,,Washington,DC,20036,,,2024-02-02,842.35,,database mgmt,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12423,,,ORG,Action Network,,,,,,1900 L Street NW,,Washington,DC,20036,,,2024-03-04,908.65,,database mgmt,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12416,,,ORG,BlueShift Technology,,,,,,5202 N Oakley Ave,,Chicago,IL,60625,,,2024-02-29,185.00,,website maintenance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12424,,,ORG,BlueShift Technology,,,,,,5202 N Oakley Ave,,Chicago,IL,60625,,,2024-03-12,185.00,,website maintenance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12406,,,ORG,"Messer Caparello, P.A.",,,,,,2618 Centennial Place,,Tallahassee,FL,32308,,,2024-02-28,240.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12407,,,ORG,"Messer Caparello, P.A.",,,,,,2618 Centennial Place,,Tallahassee,FL,32308,,,2024-03-12,420.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12408,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-01-10,6000.00,,fundraising consultant,003,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12409,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-01-17,4500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12410,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-01-31,6000.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12414,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-02-29,6000.00,,fundraising consultant,003,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12415,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-02-29,4500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00848937,SB21B.12417,,,ORG,Sapphire Strategies,,,,,,3225 McKinley St NW,,Washington,DC,20015,,,2024-03-12,4500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
