form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00794024,SB21B.4801,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,,NEW ORLEANS,LA,70112,,,2024-09-30,400.90,,CREDIT CARD PROCESSING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4816,,,ORG,ASHBY LAW,,,,,,602 CAMERON STREET,,ALEXANDRIA,VA,22314,,,2024-07-10,168.75,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4817,,,ORG,ASHBY LAW,,,,,,602 CAMERON STREET,,ALEXANDRIA,VA,22314,,,2024-09-05,168.75,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4803,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,TYSONS CORNER,VA,22182,,,2024-07-16,250.00,,DATABASE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4818,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,TYSONS CORNER,VA,22182,,,2024-08-15,250.00,,DATABASE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4819,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,TYSONS CORNER,VA,22182,,,2024-09-17,250.00,,DATABASE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4822,,,PAC,HOGAN VICTORY FUND,,,,,,2077 SOMERVILLE ROAD,SUITE 206,ANNAPOLIS,MD,21401,,,2024-09-25,5684.31,,PMT FOR FUNDRAISING AD BUY,,C00869024,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4823,,,PAC,HOGAN VICTORY FUND,,,,,,2077 SOMERVILLE ROAD,SUITE 206,ANNAPOLIS,MD,21401,,,2024-09-27,22758.02,,PMT FOR FUNDRAISING AD BUY,,C00869024,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4805,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-07-11,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4810,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-08-08,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4812,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-09-16,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4813,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-09-16,250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4814,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-09-16,165.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4807,,,ORG,SOCKO STRATEGIES,,,,,,1101 30TH ST NW,,WASHINGTON,DC,20007,,,2024-07-29,1000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4804,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2024-07-08,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4806,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2024-07-17,250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4809,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2024-08-06,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4811,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2024-09-06,2665.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
