form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00469429,SB21B.I58907,,,ORG,AMERICAN EXPRESS,,,,,,P.O. BOX 1270,,NEWARK,NJ,07101,,,2023-07-24,424.11,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I59248,SB21B.I58907,SB21B,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2023-06-10,424.11,,AIRFARE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00469429,SB21B.I59258,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-09-08,60.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60376,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-09-20,60.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60447,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-09-29,60.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60836,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-12-06,200.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I61086,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-12-30,100.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I57797,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-07-03,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I58968,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-08-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I59111,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-09-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60469,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-10-02,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
