form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00647966,SB21B.5575,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-03-31,953.00,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5588,,,ORG,Ben Hillman & Company,,,,,,35 Salisbury Road,,Sheffield,MA,01257,,,2024-01-23,3069.00,,Video/Postcard Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5628,,,ORG,Frame Media Strategies LLC,,,,,,452 Roosevelt Trail,,Windham,ME,04062,,,2024-03-04,3383.22,,Mailing List,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5590,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-01-25,210.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5629,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-02-29,645.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5639,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-03-22,250.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5591,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-02-07,417.95,,Credit Card - No vendor over $200,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5605,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-02-29,3.00,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5630,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-03-07,107.34,,Credit Card,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5640,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-03-29,3.00,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5678,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2024-03-19,91.72,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5681,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2024-03-22,210.86,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5658,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-02-08,146.17,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5659,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-02-20,151.81,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5662,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-02-26,129.73,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5689,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-03-04,246.11,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5667,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-03-05,977.53,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5669,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-03-06,450.55,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5671,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-03-13,350.29,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
