form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00253294,SB21B.42106,,,ORG,4IMPRINT,,,,,,101 COMMERCE STREET,,OSHKOSH,WI,54901,,,2023-10-13,1808.57,,PAC PROMOTIONAL ITEMS- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42217,,,ORG,ADLI,,,,,,2603 S FRONT ST,,PHILADELPHIA,PA,19148,,,2023-12-14,320.80,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42044,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,830.47,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42084,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,56.06,,TRAVEL MEALS,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42091,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,80.08,,CONFERENCE MEALS,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42092,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,48.79,,CONFERENCE MEALS,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42093,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,58.03,,CONFERENCE MEALS,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42100,,,ORG,ALOFT OCEAN CITY,,,,,,4501 COASTAL HWY,,OCEAN CITY,MD,21842,,,2023-09-14,1396.38,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41993,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-07-14,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42026,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-08-14,87.14,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42028,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-08-14,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42098,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-09-14,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42157,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-10-13,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42205,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-11-14,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42234,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-12-14,16.10,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42256,,,ORG,AMAZON,,,,,,PO BOX 81226,,SEATTLE,WA,98108,,,2023-12-14,15.89,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42023,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-08-14,872.40,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42024,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-08-14,116.26,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42053,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-09-14,30.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
