form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00765917,SB21B.31642,,,ORG,C&D PRINTING,,,,,,550 E 76th Ave.,,Denver,CO,80229,P2023,,2023-10-13,1993.95,,DIRECT MAIL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31644,,,ORG,CAMPAIGN DEPUTY,,,,,,7406 Steeplecrest Cir,,Louisville,KY,40222,P2023,,2023-12-26,189.00,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31656,,,ORG,CONSTANTCONTACT,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2023,,2023-10-20,300.30,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31655,,,ORG,CONSTANTCONTACT,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2023,,2023-11-20,300.30,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31654,,,ORG,CONSTANTCONTACT,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2023,,2023-12-20,300.30,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31726,,,IND,,Diller,Sean,,,,4713 Joplin st.,,Denver,CO,80239,P2023,,2023-11-27,750.00,,PAYROLL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31725,,,IND,,Diller,Sean,,,,4713 Joplin st.,,Denver,CO,80239,P2023,,2023-11-29,750.00,,PAYROLL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31667,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-10-03,547.40,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31664,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-10-18,2515.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31665,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-11-02,1878.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31663,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-11-14,2515.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31666,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-12-04,1705.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31662,,,ORG,Fired Up Campaigns,,,,,,7410 Murdoch Ave,,St Louis,MO,63119,P2023,,2023-12-20,2515.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31671,,,ORG,Grassroots Analytics,,,,,,777 6th St NW,,Washington,DC,20001,P2023,,2023-12-26,180.20,,FUNDRAISING DATA,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31674,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2023,,2023-10-03,43.71,,ADMIN FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31672,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2023,,2023-10-23,1500.00,,ADMIN FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31673,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2023,,2023-11-03,43.71,,ADMIN FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31675,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2023,,2023-12-04,37.31,,ADMIN FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31728,,,IND,,HIMEBAUGH,AMELIA,,,,5627 Nottingham Ave,,St. Louis,MO,63109,P2023,,2023-11-02,250.00,,PAYROLL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31683,,,ORG,INDUSTRIOUS BCO,,,,,,1919 14th St #700,,Boulder,CO,80302,P2023,,2023-10-03,2419.20,,OFFICE SPACE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31684,,,ORG,INDUSTRIOUS BCO,,,,,,1919 14th St #700,,Boulder,CO,80302,P2023,,2023-11-02,2390.81,,OFFICE SPACE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31682,,,ORG,INDUSTRIOUS BCO,,,,,,1919 14th St #700,,Boulder,CO,80302,P2023,,2023-12-04,2419.20,,OFFICE SPACE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31730,,,IND,,Kruger,Jack,,,,16 Berkley Court,,Freeland,MD,21053,P2023,,2023-11-13,125.00,,PAYROLL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31729,,,IND,,Kruger,Jack,,,,16 Berkley Court,,Freeland,MD,21053,P2023,,2023-11-29,125.00,,PAYROLL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31689,,,ORG,Mailerlite,,,,,,Address Requested,,requested,ZZ,11111,P2023,,2023-10-24,380.00,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31690,,,ORG,Mailerlite,,,,,,Address Requested,,requested,ZZ,11111,P2023,,2023-11-03,13.56,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
