form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00838722,SB21B.15096,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-11-25,2500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15067,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-01,99.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15068,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-02,1.38,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15069,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-04,0.08,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15070,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-09,3.45,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15071,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-15,11.82,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15072,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-16,0.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15073,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-17,3.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15074,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-21,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15075,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-23,2.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15076,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-24,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15077,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-10-31,0.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15078,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-01,99.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15079,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-01,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15080,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-05,0.08,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15081,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-08,1.23,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15082,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-12,1.83,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15083,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-14,13.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15084,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-15,1.58,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15085,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-20,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00838722,SB21B.15091,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,STE 530,ARLINGTON,VA,22209,,,2024-11-22,1.03,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
