form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00887588,500694730,,,ORG,"NGP VAN, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2024-12-03,106.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695630,,,ORG,Strathdee Group,,,,,,PO Box 15096,,Washington,DC,200030096,,,2024-12-17,2500.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500693280,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-11-29,25000.00,0.00,List Acquisition,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500696390,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-31,132.86,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500694821,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-12-05,20000.00,0.00,List Acquisition,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695141,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-02,380.65,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500696391,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-31,475.78,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500693691,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Lbby 2,New York,NY,100018400,,,2024-11-27,272.25,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500694822,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-12-05,5000.00,0.00,List Acquisition,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695413,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-12-11,64285.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500693693,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-29,635.75,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695414,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-12-11,10276.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500693284,,,ORG,Strathdee Group,,,,,,PO Box 15096,,Washington,DC,200030096,,,2024-11-29,2500.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695635,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-12-16,-1000.00,0.00,Void of Payment Made in Error on 10/31/24 - Not Owed,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695145,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-02,95.97,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695865,,,ORG,Mothership Strategies,,,,,,2413 20th St NW,Unit 4,Washington,DC,200095453,,,2024-12-27,7000.00,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695636,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-16,1527.47,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500696276,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Lbby 2,New York,NY,100018400,,,2024-12-30,208.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695878,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-23,1154.49,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500693278,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Ste 143,Washington,DC,200034303,,,2024-11-29,500.73,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00887588,500695369,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-09,1354.74,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
