form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00860023,EB103,,,ORG,CitiBank Choice,,,,,,Box 9001037,,Louisville,KY,40290,,,2024-10-01,14125.67,,See below,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB23EB103,EB103,SB21B,ORG,Amazon Marketplace,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-10-01,3550.36,,Mailing supplies,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB24EB103,EB103,SB21B,ORG,Blaze Business Systems,,,,,,2023 Alegria Dr,,El Cajon,CA,92021,,,2024-10-01,2789.84,,Printing,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB22EB103,EB103,SB21B,ORG,Costco Business Center,,,,,,150 So Ben Ave,,San Marcos,CA,92078,,,2024-10-01,79.59,,Mailing supplies,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB27EB103,EB103,SB21B,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-01,162.50,,Postage,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB26EB103,EB103,SB21B,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-01,5257.92,,Printing,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB25EB103,EB103,SB21B,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-01,2285.46,,Mail handling,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,EB104,,,ORG,"C. April Boling, CPA",,,,,,7185 Navajo Road Suite J,,San Diego,CA,92119,,,2024-10-03,3000.00,,Professional services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB105,,,ORG,"C. April Boling, CPA",,,,,,7185 Navajo Road Suite J,,San Diego,CA,92119,,,2024-10-03,100.00,,Reimbursement for campaign software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB107,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-05,2704.89,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB106,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-05,6482.54,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB108,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-05,14837.73,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB28EB108,EB108,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-05,14837.73,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB111,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-14,7356.74,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB29EB111,EB111,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-14,7356.74,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB110,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-14,1303.48,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB109,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-14,2348.08,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB112,,,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-14,11700.00,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB113,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-15,2348.08,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB114,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-15,1156.48,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB115,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-15,7356.74,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB30EB115,EB115,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-15,7356.74,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
