form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00878934,501219189,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-07,197.50,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219191,,,ORG,Angerholzer Broz Consulting LLC,,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,,,2024-11-05,544.52,0.00,Compliance Consulting Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219197,,,ORG,Angerholzer Broz Consulting LLC,,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,,,2024-11-20,255.65,0.00,Compliance Consulting Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219193,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-10-07,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219199,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-10-11,5.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219194,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-10-16,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219195,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-10-30,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219198,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-10-30,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219200,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-11-07,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219190,,,ORG,SGR Consulting LLC,,,,,,465 California St,Ste 425,San Francisco,CA,941041852,,,2024-10-10,5000.00,0.00,Fundraising Consulting Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00878934,501219192,,,ORG,SGR Consulting LLC,,,,,,465 California St,Ste 425,San Francisco,CA,941041852,,,2024-10-30,5000.00,0.00,Fundraising Consulting Fee,,,,,,,,,,,,,,,,,,,,
