form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00837492,SB.11,,,ORG,DIRECTSND LLC,,,,,,4141 BUTTERFIELD ROAD,,CEDAR FALLS,IA,50613,,,2024-12-02,6359.60,,TEXTING SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.3,,,ORG,WINRED TECHNICAL SERVICES INC,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-12-02,3458.92,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.9,,,ORG,CAPITAL HOUSE CONSULTING LLC,,,,,,579 LENAPE COURT,,SUFFERN,NY,10901,,,2024-12-03,5020.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.8,,,ORG,Z STRATEGIES INC,,,,,,6231 PGA BLVD STE 104-404,,PALM BEACH GARDENS,FL,33418,,,2024-12-03,8300.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.1,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-12-09,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.4,,,ORG,WINRED TECHNICAL SERVICES INC,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-12-09,4652.85,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.5,,,ORG,WINRED TECHNICAL SERVICES INC,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-12-16,8868.59,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.10,,,ORG,INTUIT INC,,,,,,2700 CAST AVE,,MOUNTAIN VIEW,CA,94043,,,2024-12-17,65.00,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.2,,,ORG,COMPLIANCE CONSULTING CO OF VA LLC,,,,,,PO BOX 365,,MCLEAN,VA,22101,,,2024-12-20,2750.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.6,,,ORG,WINRED TECHNICAL SERVICES INC,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-12-23,2654.60,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00837492,SB.7,,,ORG,WINRED TECHNICAL SERVICES INC,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-12-30,1352.93,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
