form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00859553,500691112,,,ORG,45Th Street Taphouse LLC,,,,,,4507 Coastal Hwy,,Ocean City,MD,218423245,G2024,,2024-08-06,889.25,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691113,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-07-07,5773.97,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691114,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-07-14,11262.35,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691115,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-07-21,6854.77,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691116,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-07-28,7777.82,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691118,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-07-31,2706.87,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691119,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-08-04,3586.39,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691121,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-08-11,7891.05,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691122,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-08-18,6293.75,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500691123,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-08-25,7729.23,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500693017,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-08-31,6808.13,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500693018,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,G2024,,2024-09-01,378.24,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
